Work Order,Description,Work Type,Location,Asset,Owner,Unit,Status,Unit Description,PO,Reported Date,Scheduled Start,HI Value,Description Penyulang,Status Date,Priority,Originating Record,Site,Bulan,UP3,INSP,JENIS WO,PANJANG JTM,FASA,YEAR,COUNTUNIQUE of Work Order,Status,,,,,,,,,,
100030633,INSPEKSI TIER 1 BJ61038,INST1,GD01.06301239,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,UP3,COMP,INPRG,WFCOMP,WFOLLOWUP,WINSP,WREVIEW,WSCH,Grand Total,,,
100030671,INSPEKSI TIER 1 BJ61041,INST1,GD01.06301242,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,UP3 BULUKUMBA,1490,83,152,219,148,4,2,2098,,,
100030692,INSPEKSI TIER 1 BJ61042,INST1,GD01.06301243,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,Grand Total,1490,83,152,219,148,4,2,2098,,,Status
100030714,INSPEKSI TIER 1 BJ61043,INST1,GD01.06301244,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,COMP,COMP
100030746,INSPEKSI TIER 1 BJ61044,INST1,GD01.06301245,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,WFOLLOWUP,WFOLLOWUP
100030823,INSPEKSI TIER 1 BJ61051,INST1,GD01.06301252,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,WFCOMP,WFCOMP
100030858,INSPEKSI TIER 1 BJ61052,INST1,GD01.06301253,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,INPRG
100030872,INSPEKSI TIER 1 BJ61054,INST1,GD01.06301255,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,WAPPR
100030890,INSPEKSI TIER 1 BJ65001,INST1,GD01.06301267,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,WINSP
100030904,INSPEKSI TIER 1 BJ65002,INST1,GD01.06301268,,32730.INSPEKSI2,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,WREVIEW
